#! FIELDS phi psi metad.bias der_phi der_psi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  90
#! SET periodic_phi true
#! SET min_psi -pi
#! SET max_psi pi
#! SET nbins_psi  90
#! SET periodic_psi true
   -3.141592654   -3.141592654   66.589281793   45.737039232  -20.020674781
   -3.071779484   -3.141592654   69.590433661   39.400781696  -19.791876691
   -3.001966313   -3.141592654   72.123974525   32.515347469  -19.368938140
   -2.932153143   -3.141592654   74.172719216   25.665495577  -18.856512070
   -2.862339973   -3.141592654   75.749012801   19.069971653  -18.290606008
   -2.792526803   -3.141592654   76.881460923   13.011791593  -17.876467913
   -2.722713633   -3.141592654   77.619423083    7.593176647  -17.500888740
   -2.652900463   -3.141592654   78.003394763    2.873669947  -17.320635729
   -2.583087293   -3.141592654   78.067380245   -1.292940915  -17.372991212
   -2.513274123   -3.141592654   77.867761621   -4.779164260  -17.654809424
   -2.443460953   -3.141592654   77.433038488   -7.683425391  -17.980142143
   -2.373647783   -3.141592654   76.823714520  -10.046044746  -18.398661010
   -2.303834613   -3.141592654   76.060264389  -11.695189476  -18.936349648
   -2.234021443   -3.141592654   75.211743841  -12.631204390  -19.394461308
   -2.164208272   -3.141592654   74.325046921  -12.793686952  -19.832668594
   -2.094395102   -3.141592654   73.452008547  -12.292771509  -20.229429613
   -2.024581932   -3.141592654   72.633803644  -11.192294344  -20.494831436
   -1.954768762   -3.141592654   71.885352137   -9.691713493  -20.732830708
   -1.884955592   -3.141592654   71.253757291   -8.019702326  -20.899893855
   -1.815142422   -3.141592654   70.731705150   -6.431774427  -21.017194938
   -1.745329252   -3.141592654   70.314084356   -5.082559567  -21.151673548
   -1.675516082   -3.141592654   69.970782098   -4.288020274  -21.376628375
   -1.605702912   -3.141592654   69.665301917   -4.265658011  -21.789448271
   -1.535889742   -3.141592654   69.316642148   -5.200290194  -22.470544373
   -1.466076572   -3.141592654   68.872003386   -7.459245424  -23.529221792
   -1.396263402   -3.141592654   68.214502073  -10.845183480  -25.021649001
   -1.326450232   -3.141592654   67.280962511  -15.636490853  -26.993401411
   -1.256637061   -3.141592654   65.959009031  -21.626006720  -29.420379317
   -1.186823891   -3.141592654   64.180505118  -28.514899356  -32.235547104
   -1.117010721   -3.141592654   61.903003762  -36.093754664  -35.303317083
   -1.047197551   -3.141592654   59.089907255  -43.770186749  -38.443297968
   -0.977384381   -3.141592654   55.745394886  -51.127847036  -41.395969513
   -0.907571211   -3.141592654   51.918087314  -57.584232415  -43.882405501
   -0.837758041   -3.141592654   47.686197970  -62.720476449  -45.725032637
   -0.767944871   -3.141592654   43.163030175  -66.015354309  -46.750267489
   -0.698131701   -3.141592654   38.482541810  -67.381934061  -46.784530874
   -0.628318531   -3.141592654   33.773902119  -66.635571323  -45.766864019
   -0.558505361   -3.141592654   29.188391488  -64.027638480  -43.796299014
   -0.488692191   -3.141592654   24.846310824  -59.653486295  -40.918542578
   -0.418879020   -3.141592654   20.882009041  -53.755135333  -37.286062162
   -0.349065850   -3.141592654   17.365410703  -46.775581893  -32.986237530
   -0.279252680   -3.141592654   14.364332187  -38.847387866  -28.264082202
   -0.209439510   -3.141592654   11.941057503  -30.312993143  -23.257435743
   -0.139626340   -3.141592654   10.142962945  -21.053711753  -18.048172288
   -0.069813170   -3.141592654    8.993247110  -11.534877613  -12.732984237
    0.000000000   -3.141592654    8.540485222   -1.521531122   -7.434789290
    0.069813170   -3.141592654    8.797897181    8.829221037   -2.377855963
    0.139626340   -3.141592654    9.781948907   19.404092258    2.643679212
    0.209439510   -3.141592654   11.504976994   29.887045213    7.433845855
    0.279252680   -3.141592654   13.939388207   39.857594326   11.950830167
    0.349065850   -3.141592654   17.037830381   48.787601894   16.007723377
    0.418879020   -3.141592654   20.701850347   56.112650670   19.458928646
    0.488692191   -3.141592654   24.815367321   61.318732894   22.240013406
    0.558505361   -3.141592654   29.209099467   63.963672293   24.139742304
    0.628318531   -3.141592654   33.685862207   63.741344315   25.143761111
    0.698131701   -3.141592654   38.042848320   60.390634443   25.101027660
    0.767944871   -3.141592654   42.060956361   54.082430053   24.048258421
    0.837758041   -3.141592654   45.550618152   45.289416482   22.274971450
    0.907571211   -3.141592654   48.350093593   34.570849987   19.742768219
    0.977384381   -3.141592654   50.349860335   22.562376633   16.811344306
    1.047197551   -3.141592654   51.485749665   10.054900847   13.789340169
    1.117010721   -3.141592654   51.755096860   -2.188372778   10.931257382
    1.186823891   -3.141592654   51.215071414  -13.410717567    8.373358933
    1.256637061   -3.141592654   49.924537661  -23.231002714    6.231039684
    1.326450232   -3.141592654   48.018907030  -31.226775438    4.602232144
    1.396263402   -3.141592654   45.621466435  -37.207575698    3.482636999
    1.466076572   -3.141592654   42.871659766  -41.163026627    2.703009600
    1.535889742   -3.141592654   39.922553159  -43.095700557    2.212646075
    1.605702912   -3.141592654   36.907313641  -43.150290106    1.834045523
    1.675516082   -3.141592654   33.939933849  -41.517134603    1.449158081
    1.745329252   -3.141592654   31.148614658  -38.280943478    1.040038370
    1.815142422   -3.141592654   28.630470289  -33.627099454    0.363209137
    1.884955592   -3.141592654   26.484533832  -27.740901606   -0.400616765
    1.954768762   -3.141592654   24.787928648  -20.690713788   -1.395013168
    2.024581932   -3.141592654   23.617172035  -12.732579998   -2.467516233
    2.094395102   -3.141592654   23.015020529   -4.207861375   -3.604173743
    2.164208272   -3.141592654   23.043079850    4.673570526   -4.817122285
    2.234021443   -3.141592654   23.688615106   13.583888254   -6.087815087
