#! FIELDS phi file.free der_phi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  36
#! SET periodic_phi true
   -3.141592654   16.522758781  -53.328180878
   -2.967059728    8.209457551  -40.860061280
   -2.792526803    2.554640650  -23.516101930
   -2.617993878    0.000000000   -6.199416207
   -2.443460953    0.093906199    6.100744937
   -2.268928028    1.650025739   10.285195522
   -2.094395102    3.218088659    6.591403627
   -1.919862177    3.703602320   -1.273773039
   -1.745329252    2.859834724   -7.667638938
   -1.570796327    1.408165894   -7.616620426
   -1.396263402    0.693656106    0.736095105
   -1.221730476    2.030166317   15.192092418
   -1.047197551    6.067618390   30.729668074
   -0.872664626   12.508398486   41.937379857
   -0.698131701   20.260162223   45.393867008
   -0.523598776   27.877550662   40.494507845
   -0.349065850   34.006231027   28.685795933
   -0.174532925   37.632142830   12.241498164
    0.000000000   38.149405597   -6.554536573
    0.174532925   35.365549512  -25.080707274
    0.349065850   29.620775350  -39.793762737
    0.523598776   21.964382630  -46.253629952
    0.698131701   14.199812001  -40.635486328
    0.872664626    8.556210211  -22.159497435
    1.047197551    6.993459697    5.082553221
    1.221730476   10.385678391   33.135687455
    1.396263402   18.105512456   53.447702217
    1.570796327   28.272366445   60.699679216
    1.745329252   38.508042029   54.593471006
    1.919862177   46.756729776   38.700859121
    2.094395102   51.732815107   17.863383933
    2.268928028   52.933120448   -4.058303542
    2.443460953   50.402305103  -24.541515538
    2.617993878   44.560305667  -41.701394711
    2.792526803   36.163755892  -53.484120425
    2.967059728   26.339670869  -57.786698147
